NodeName,SecurityClass,Confidentiality,Integrity,Availability,ServicePackage
MMV User,,,,,Field Master Controlled
Vehicle Characteristics,,,,,Field Master Controlled
Driver,,,,,Dynamic Message Signs
Traffic Management Center,Class 2,Moderate,Moderate,Moderate,Dynamic Message Signs
Maint and Constr Management Center,Class 1,Low,Low,Moderate,Dynamic Message Signs
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Dynamic Message Signs
Transportation Information Center,Class 1,Low,Low,Moderate,Dynamic Message Signs
Transit Management Center,Class 1,Low,Low,Moderate,Dynamic Message Signs
Traffic Operations Personnel,,,,,Dynamic Message Signs
Emergency Management Center,Class 1,Low,Low,Moderate,Dynamic Message Signs
Other ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Dynamic Message Signs
Media,Class 1,Low,Low,Moderate,Dynamic Message Signs
Driver,,,,,Advisory Radio
Traffic Management Center,Class 2,Moderate,Moderate,Moderate,Advisory Radio
Maint and Constr Management Center,Class 1,Low,Low,Moderate,Advisory Radio
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Advisory Radio
Transportation Information Center,Class 1,Low,Low,Moderate,Advisory Radio
Transit Management Center,Class 1,Low,Low,Moderate,Advisory Radio
Traffic Operations Personnel,,,,,Advisory Radio
Emergency Management Center,Class 1,Low,Low,Moderate,Advisory Radio
Other ITS Roadway Equipment,Class 2,Moderate,Moderate,Low,Advisory Radio
Media,Class 1,Low,Low,Moderate,Advisory Radio
Basic Vehicle,Class 1,Not Applicable,Low,Low,Advisory Radio
Driver,,,,,Traditional ITS Queue Warning
Traffic Management Center,Class 3,Moderate,High,Moderate,Traditional ITS Queue Warning
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Traditional ITS Queue Warning
Transportation Information Center,Class 1,Low,Low,Moderate,Traditional ITS Queue Warning
Traffic Operations Personnel,,,,,Traditional ITS Queue Warning
Other Traffic Management Centers,Class 1,Low,Moderate,Moderate,Traditional ITS Queue Warning
Vehicle Characteristics,,,,,Traditional ITS Queue Warning
Roadway Environment,Class 1,Not Applicable,Low,Low,Traditional ITS Queue Warning
Driver,,,,,WAW Queue Warning
Vehicle,Class 2,Moderate,Moderate,Moderate,WAW Queue Warning
Traffic Management Center,Class 2,Moderate,Moderate,Moderate,WAW Queue Warning
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,WAW Queue Warning
Transportation Information Center,Class 2,Moderate,Moderate,Moderate,WAW Queue Warning
Traffic Operations Personnel,,,,,WAW Queue Warning
Other Traffic Management Centers,Class 1,Low,Moderate,Moderate,WAW Queue Warning
Vehicle Characteristics,,,,,WAW Queue Warning
Roadway Environment,Class 1,Not Applicable,Low,Low,WAW Queue Warning
Driver,,,,,C-ITS Queue Warning
Vehicle,Class 3,Low,High,Moderate,C-ITS Queue Warning
Other Vehicles,Class 3,Low,High,Moderate,C-ITS Queue Warning
Traffic Management Center,Class 3,Moderate,High,Moderate,C-ITS Queue Warning
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,C-ITS Queue Warning
Connected Vehicle Roadside Equipment,Class 2,Moderate,Moderate,Moderate,C-ITS Queue Warning
Transportation Information Center,Class 1,Low,Low,Moderate,C-ITS Queue Warning
Traffic Operations Personnel,,,,,C-ITS Queue Warning
Other Traffic Management Centers,Class 1,Low,Moderate,Moderate,C-ITS Queue Warning
Basic Vehicle,,,,,C-ITS Queue Warning
Vehicle Characteristics,,,,,C-ITS Queue Warning
Roadway Environment,Class 1,Not Applicable,Low,Low,C-ITS Queue Warning
Driver,,,,,Traditional Reduced Speed Warning
Traffic Management Center,Class 3,Moderate,High,Moderate,Traditional Reduced Speed Warning
Maint and Constr Management Center,Class 3,Moderate,High,Moderate,Traditional Reduced Speed Warning
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Traditional Reduced Speed Warning
Vehicle Characteristics,,,,,Traditional Reduced Speed Warning
Driver,,,,,WAW Reduced Speed Warning
Vehicle,Class 1,Low,Low,Moderate,WAW Reduced Speed Warning
Traffic Management Center,Class 3,Moderate,High,Moderate,WAW Reduced Speed Warning
Maint and Constr Management Center,Class 3,Moderate,High,Moderate,WAW Reduced Speed Warning
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,WAW Reduced Speed Warning
Transportation Information Center,Class 1,Low,Moderate,Moderate,WAW Reduced Speed Warning
Basic Vehicle,,,,,WAW Reduced Speed Warning
Vehicle Characteristics,,,,,WAW Reduced Speed Warning
Driver,,,,,C-ITS Reduced Speed Warning
Vehicle,Class 1,Low,Moderate,Moderate,C-ITS Reduced Speed Warning
Traffic Management Center,Class 3,Moderate,High,Moderate,C-ITS Reduced Speed Warning
Maint and Constr Management Center,Class 3,Moderate,High,Moderate,C-ITS Reduced Speed Warning
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,C-ITS Reduced Speed Warning
Connected Vehicle Roadside Equipment,Class 2,Moderate,Moderate,Moderate,C-ITS Reduced Speed Warning
Basic Vehicle,,,,,C-ITS Reduced Speed Warning
Vehicle Characteristics,,,,,C-ITS Reduced Speed Warning
Traffic Management Center,Class 2,Moderate,Moderate,Moderate,Environmental Sensor Stations
Maint and Constr Management Center,Class 2,Moderate,Moderate,Moderate,Environmental Sensor Stations
ITS Roadway Equipment,Class 3,Moderate,High,Moderate,Environmental Sensor Stations
Transportation Information Center,Class 3,Low,High,Moderate,Environmental Sensor Stations
Traffic Operations Personnel,,,,,Environmental Sensor Stations
Weather Service System,Class 1,Low,Moderate,Moderate,Environmental Sensor Stations
Surface Transportation Weather Service,Class 1,Low,Moderate,Moderate,Environmental Sensor Stations
Maint and Constr Center Personnel,,,,,Environmental Sensor Stations
Roadway Environment,Class 1,Not Applicable,Low,Low,Environmental Sensor Stations
Traffic Management Center,Class 1,Low,Moderate,Moderate,Maint and Constr Vehicle Reported
Maint and Constr Management Center,Class 3,Moderate,High,Moderate,Maint and Constr Vehicle Reported
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Maint and Constr Vehicle Reported
Transportation Information Center,Class 3,Low,High,Moderate,Maint and Constr Vehicle Reported
Traffic Operations Personnel,,,,,Maint and Constr Vehicle Reported
Weather Service System,Class 1,Low,Moderate,Moderate,Maint and Constr Vehicle Reported
Surface Transportation Weather Service,Class 1,Low,Moderate,Moderate,Maint and Constr Vehicle Reported
Maint and Constr Vehicle OBE,Class 2,Moderate,Moderate,Moderate,Maint and Constr Vehicle Reported
Maint and Constr Center Personnel,,,,,Maint and Constr Vehicle Reported
Roadway Environment,Class 1,Not Applicable,Low,Low,Maint and Constr Vehicle Reported
Vehicle,Class 1,Low,Moderate,Moderate,C-ITS Vehicle Reported
Traffic Management Center,Class 2,Moderate,Moderate,Moderate,C-ITS Vehicle Reported
Maint and Constr Management Center,Class 1,Low,Moderate,Moderate,C-ITS Vehicle Reported
Connected Vehicle Roadside Equipment,Class 2,Moderate,Moderate,Moderate,C-ITS Vehicle Reported
Transportation Information Center,Class 3,Low,High,Moderate,C-ITS Vehicle Reported
Traffic Operations Personnel,,,,,C-ITS Vehicle Reported
Weather Service System,Class 1,Low,Moderate,Moderate,C-ITS Vehicle Reported
Surface Transportation Weather Service,Class 1,Low,Moderate,Moderate,C-ITS Vehicle Reported
Maint and Constr Center Personnel,,,,,C-ITS Vehicle Reported
Roadway Environment,Class 1,Not Applicable,Low,Low,C-ITS Vehicle Reported
Driver,,,,,Vulnerable Road User Device Transition Support
Vehicle,Class 3,Low,High,Moderate,Vulnerable Road User Device Transition Support
Traveler,,,,,Vulnerable Road User Device Transition Support
Personal,Class 3,Low,High,Moderate,Vulnerable Road User Device Transition Support
Transportation Information Center,Class 2,Moderate,Moderate,Low,Vulnerable Road User Clustering
Personal Information Device,Class 3,Moderate,High,Moderate,Vulnerable Road User Clustering
Pedestrian,,,,,Vulnerable Road User Clustering
MMV User,,,,,Vulnerable Road User Clustering
Other PIDs,Class 3,Low,High,Moderate,Vulnerable Road User Clustering
Micromobility Vehicle OBE,Class 3,Moderate,High,Moderate,Vulnerable Road User Clustering
Other Micromobility Vehicle OBEs,Class 3,Low,High,Moderate,Vulnerable Road User Clustering
Maint and Constr Management Center,Class 5,Low,High,High,Personal Wayfinding
Transportation Information Center,Class 5,Moderate,Moderate,High,Personal Wayfinding
Personal Information Device,Class 2,Moderate,Moderate,Moderate,Personal Wayfinding
Transit Management Center,Class 1,Low,Moderate,Moderate,Personal Wayfinding
Alternate Mode Transportation Center,Class 1,Low,Moderate,Low,Personal Wayfinding
TIC Operator,,,,,Personal Wayfinding
Traveler,,,,,Personal Wayfinding
Traveler Support Equipment,Class 2,Moderate,Moderate,Moderate,Personal Wayfinding
Other Transportation Information Centers,Class 2,Moderate,Moderate,Moderate,Personal Wayfinding
MMV User,,,,,Personal Wayfinding
Micromobility Vehicle OBE,Class 2,Moderate,Moderate,Moderate,Personal Wayfinding
Personal Safety Device,Class 1,Low,Moderate,Moderate,Personal Wayfinding
Pathway Equipment,Class 2,Moderate,Moderate,Moderate,Personal Wayfinding
Pathway Communications Unit,Class 1,Not Applicable,Moderate,Low,Personal Wayfinding
Traffic Management Center,Class 3,Moderate,High,Moderate,One-Way Convoy Driving
Maint and Constr Management Center,Class 2,Moderate,Moderate,Moderate,One-Way Convoy Driving
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,One-Way Convoy Driving
Transportation Information Center,Class 2,Moderate,Moderate,Moderate,One-Way Convoy Driving
Personal Information Device,Class 2,Moderate,Moderate,Moderate,One-Way Convoy Driving
Maint and Constr Vehicle OBE,Class 2,Moderate,Moderate,Moderate,One-Way Convoy Driving
Other MCV OBEs,Class 1,Low,Moderate,Low,One-Way Convoy Driving
Maint and Constr Vehicle Operator,,,,,One-Way Convoy Driving
Light Vehicle OBE,Class 2,Moderate,Moderate,Moderate,One-Way Convoy Driving
Light Vehicle Driver,,,,,One-Way Convoy Driving
Personal Information Device,Class 5,High,High,High,Account-based
Transit Management Center,Class 4,High,High,Moderate,Account-based
Transit Vehicle OBE,Class 5,Moderate,Moderate,High,Account-based
Financial Center,Class 2,Moderate,Moderate,Moderate,Account-based
Payment Administration Center,Class 5,High,High,High,Account-based
ITS Roadway Payment Equipment,Class 5,Moderate,Moderate,High,Account-based
Payment Device,Class 5,Moderate,Moderate,High,Account-based
Other Payment Administration Centers,Class 3,Moderate,High,Moderate,Account-based
Parking Area Equipment,Class 5,Moderate,Moderate,High,Account-based
Traveler Support Equipment,Class 5,Moderate,Moderate,High,Account-based
Parking Management Center,Class 4,High,High,Moderate,Account-based
Shared Use Transportation Center,Class 2,Moderate,Moderate,Moderate,Account-based
Eligibility Certification Management System,Class 2,Moderate,Moderate,Moderate,Account-based
Light Vehicle OBE,Class 5,High,High,High,Account-based
Transportation Information Center,Class 2,Moderate,Moderate,Moderate,Card-based
Transit Management Center,Class 2,Moderate,Moderate,Moderate,Card-based
Transit Vehicle OBE,Class 5,Moderate,Moderate,High,Card-based
Financial Center,Class 2,Moderate,Moderate,Moderate,Card-based
Payment Administration Center,Class 3,Moderate,High,Moderate,Card-based
ITS Roadway Payment Equipment,Class 5,Moderate,Moderate,High,Card-based
Payment Device,Class 5,Moderate,Moderate,High,Card-based
Other Payment Administration Centers,Class 3,Moderate,High,Moderate,Card-based
Parking Area Equipment,Class 5,Moderate,Moderate,High,Card-based
Traveler Support Equipment,Class 5,Moderate,Moderate,High,Card-based
Parking Management Center,Class 2,Moderate,Moderate,Moderate,Card-based
Shared Use Transportation Center,Class 2,Moderate,Moderate,Moderate,Card-based
Eligibility Certification Management System,Class 2,Moderate,Moderate,Moderate,Card-based
Light Vehicle OBE,Class 5,Moderate,Moderate,High,Card-based
Personal Information Device,Class 5,High,High,High,"Account-based, personal transport and shared use"
Financial Center,Class 2,Moderate,Moderate,Moderate,"Account-based, personal transport and shared use"
Payment Administration Center,Class 5,High,High,High,"Account-based, personal transport and shared use"
ITS Roadway Payment Equipment,Class 5,Moderate,Moderate,High,"Account-based, personal transport and shared use"
Payment Device,Class 5,Moderate,Moderate,High,"Account-based, personal transport and shared use"
Other Payment Administration Centers,Class 3,Moderate,High,Moderate,"Account-based, personal transport and shared use"
Parking Area Equipment,Class 5,Moderate,Moderate,High,"Account-based, personal transport and shared use"
Traveler Support Equipment,Class 5,Moderate,Moderate,High,"Account-based, personal transport and shared use"
Parking Management Center,Class 4,High,High,Moderate,"Account-based, personal transport and shared use"
Shared Use Transportation Center,Class 2,Moderate,Moderate,Moderate,"Account-based, personal transport and shared use"
Eligibility Certification Management System,Class 2,Moderate,Moderate,Moderate,"Account-based, personal transport and shared use"
Light Vehicle OBE,Class 5,High,High,High,"Account-based, personal transport and shared use"
Personal Information Device,Class 5,High,High,High,Account-based with all modes
Transit Management Center,Class 4,High,High,Moderate,Account-based with all modes
Transit Vehicle OBE,Class 5,Moderate,Moderate,High,Account-based with all modes
Financial Center,Class 2,Moderate,Moderate,Moderate,Account-based with all modes
Payment Administration Center,Class 5,High,High,High,Account-based with all modes
ITS Roadway Payment Equipment,Class 5,Moderate,Moderate,High,Account-based with all modes
Payment Device,Class 5,Moderate,Moderate,High,Account-based with all modes
Other Payment Administration Centers,Class 3,Moderate,High,Moderate,Account-based with all modes
Parking Area Equipment,Class 5,Moderate,Moderate,High,Account-based with all modes
Traveler Support Equipment,Class 5,Moderate,Moderate,High,Account-based with all modes
Parking Management Center,Class 4,High,High,Moderate,Account-based with all modes
Shared Use Transportation Center,Class 2,Moderate,Moderate,Moderate,Account-based with all modes
Eligibility Certification Management System,Class 2,Moderate,Moderate,Moderate,Account-based with all modes
Light Vehicle OBE,Class 5,High,High,High,Account-based with all modes
Transportation Information Center,Class 2,Moderate,Moderate,Moderate,Pay-as-you-go
Personal Information Device,Class 4,High,High,Moderate,Pay-as-you-go
Transit Management Center,Class 2,Moderate,Moderate,Moderate,Pay-as-you-go
Transit Vehicle OBE,Class 5,Moderate,Moderate,High,Pay-as-you-go
Financial Center,Class 2,Moderate,Moderate,Moderate,Pay-as-you-go
Payment Administration Center,Class 4,High,High,Moderate,Pay-as-you-go
ITS Roadway Payment Equipment,Class 5,Moderate,Moderate,High,Pay-as-you-go
Payment Device,Class 5,Moderate,Moderate,High,Pay-as-you-go
Other Payment Administration Centers,Class 3,Moderate,High,Moderate,Pay-as-you-go
Parking Area Equipment,Class 5,Moderate,Moderate,High,Pay-as-you-go
Traveler Support Equipment,Class 5,Moderate,Moderate,High,Pay-as-you-go
Parking Management Center,Class 2,Moderate,Moderate,Moderate,Pay-as-you-go
Shared Use Transportation Center,Class 2,Moderate,Moderate,Moderate,Pay-as-you-go
Eligibility Certification Management System,Class 2,Moderate,Moderate,Moderate,Pay-as-you-go
Light Vehicle OBE,Class 5,Moderate,Moderate,High,Pay-as-you-go
Driver,,,,,Maneuver Coordination
Vehicle,Class 3,Low,High,Moderate,Maneuver Coordination
Other Vehicles,Class 3,Low,High,Moderate,Maneuver Coordination
Emergency Vehicle OBE,Class 3,Low,High,Low,Maneuver Coordination
Basic Vehicle,,,,,Maneuver Coordination
Vehicle Characteristics,,,,,Maneuver Coordination
Potential Obstacles,,,,,Maneuver Coordination
Vulnerable Road Users,,,,,Maneuver Coordination
